So duong su dung tren moi lien ket va do su dung tren tung lien ket
BackBone 1,BackBone 2,So duong lien ket n,Do su dung u,Chi phi 1 lien ket, Tong chi phi 
38,69,3,0.9333333333333333,670.5490287816395,2011.6470863449185
38,13,2,0.8666666666666667,914.1974622585648,1828.3949245171295
45,29,1,1.0,858.2569545305182,858.2569545305182
20,38,4,0.8333333333333334,447.93079822669034,1791.7231929067614
20,69,7,0.8666666666666667,417.0011990390435,2919.0083932733046
20,13,3,0.6888888888888889,466.4000428816447,1399.200128644934
69,45,3,0.9555555555555556,446.2163152552806,1338.6489457658417
69,29,3,0.7777777777777778,466.5318852983148,1399.5956558949445
